Product,Name,Product ISIN,Product Line,Product Type,Product Type Symbol,Liquidity Class,Trading Environment,Partition,Currency,US Approval Type,Settlement Type,Contract Size,Tick Size,Tick Value,Max Order Qty (TSL),Max TES Qty (TSL),Max Future Spread Qty (TSL),Max Market Order Qty,Position Limit,Pre Trade Limits,Underlying,Underlying ISIN,Underlying Name,Underlying Category
TASM,TRF ON ASML Holding N.V.,DE000A2X1YX5,FUTURE,EQUITY TOTAL RETURN FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,999999999,TES only,ASM,NL0010273215,ASML HOLDING,STOCK_EQUITIES
TASR,TRF ON ASR Nederland N.V.,DE000A2X1YY3,FUTURE,EQUITY TOTAL RETURN FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,999999999,TES only,ASR,NL0011872643,ASR NEDERLAND N.V.,STOCK_EQUITIES
TAT1,TRF ON Aroundtown SA,DE000A2X1YV9,FUTURE,EQUITY TOTAL RETURN FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,999999999,TES only,AT1,LU1673108939,AROUNDTOWN S.A.,STOCK_EQUITIES
TATF,FUT ON TATE & LYLE PLC,DE000A0SYCX8,FUTURE,SINGLE STOCK FUTURES,FSTK,,T7,6,GBX,NONE,Cash,1000,0.0001,0.0001,5000,250000,50000,500,999999999,TES only,TATE,GB0008754136,TATE & LYLE PLC,STOCK_EQUITIES
TAVM,TRF ON Dassault Aviation,DE000A2X1Z23,FUTURE,EQUITY TOTAL RETURN FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,999999999,TES only,AVM,FR0000121725,DASSAULT AVIATION SA,STOCK_EQUITIES
TAXA,TRF ON AXA S.A.,DE000A2X1Y32,FUTURE,EQUITY TOTAL RETURN FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,999999999,TES only,AXA,FR0000120628,AXA,STOCK_EQUITIES
TAXI,TRF ON AtoS S.A.,DE000A2X1Y16,FUTURE,EQUITY TOTAL RETURN FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,999999999,TES only,AXI,FR0000051732,ATOS,STOCK_EQUITIES
TBAK,TRF ON Bankinter S.A.,DE000A2X1ZC6,FUTURE,EQUITY TOTAL RETURN FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,999999999,TES only,BAK,ES0113679I37,BANKINTER,STOCK_EQUITIES
TBAS,TRF ON BASF SE,DE000A2X1ZD4,FUTURE,EQUITY TOTAL RETURN FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,999999999,TES only,BAS,DE000BASF111,BASF SE,STOCK_EQUITIES
TBAY,TRF ON Bayer AG,DE000A2X1ZE2,FUTURE,EQUITY TOTAL RETURN FUTURES,FSTK,,T7,6,EUR,NONE,Cash,100,0.0001,0.0001,5000,250000,50000,500,999999999,TES only,BAY,DE000BAY0017,BAYER AG,STOCK_EQUITIES
